date,time,weight,bodyFat,dietStatus,tags,note
2025-08-30,08:00,69.6,,,,
2025-08-31,08:00,69.3,,,,
2025-09-01,08:00,69.0,,,,
2025-09-03,08:00,69.5,,,,
2025-09-04,08:00,69.6,,,,匪夷所思 昨晚没吃不轻反重了
2025-09-05,08:00,69.8,,,,
2025-09-06,08:00,69.3,,,,
2025-09-07,08:00,69.2,,,,
2025-09-10,08:00,69.1,,,,
2025-09-12,08:00,68.7,,,,
2025-09-14,08:00,69.1,,,,
2025-09-18,,,,,period,来姨妈
2025-09-20,08:00,69.1,,,,
2025-09-21,08:00,68.8,,,,
2025-09-23,08:00,68.8,,,,
2025-09-24,08:00,68.6,,,,
2025-09-25,08:00,68.3,,,,
2025-09-30,08:00,68.5,,,,
2025-10-02,08:00,68.1,,,,
2025-10-04,08:00,68.1,,,,
2025-10-05,08:00,68.4,,,,
2025-10-06,08:00,68.3,,,,
2025-10-07,08:00,68.2,,,,
2025-10-08,08:00,67.9,,,,
2025-10-09,08:00,67.1,,,,
2025-10-10,08:00,67.2,,,,
2025-10-12,08:00,67.8,,,,真是莫名其妙
2025-10-13,08:00,68.1,,,,
2025-10-14,08:00,67.6,,,,
2025-10-15,08:00,67.5,,,,
2025-10-16,08:00,67.8,,,period,来姨妈
2025-10-17,08:00,67.6,,,,
2025-10-18,08:00,67.1,,,,昨天饿死是正确的选择
2025-10-19,08:00,66.8,,,,好感动 终于下67了
2025-10-20,08:00,66.4,,,,
2025-10-21,08:00,66.6,,,,
2025-10-22,08:00,66.3,,,,
2025-10-24,08:00,66.8,,,,不知道为什么姨妈过后反而涨称了
2025-10-25,08:00,66.4,,,,
2025-10-27,08:00,66.7,,,,
2025-10-29,08:00,67.0,,,,
2025-10-30,08:00,66.6,,,,
2025-10-31,08:00,65.8,,,,搞不懂我的体重想怎样
2025-11-01,08:00,65.4,,,,
2025-11-02,08:00,65.4,,,,
2025-11-03,08:00,65.5,,,,
2025-11-04,08:00,65.3,,,,
2025-11-05,08:00,65.5,,,,
2025-11-06,08:00,65.7,,,,我明明没吃什么
2025-11-07,08:00,65.1,,,,
2025-11-08,08:00,64.9,,,,
2025-11-09,08:00,64.8,,,,
2025-11-10,08:00,64.5,,,,
2025-11-11,08:00,65.4,,,,
2025-11-12,08:00,64.8,,,,
2025-11-13,08:00,64.8,,,,
2025-11-14,08:00,64.6,,,,
