date,time,metricKey,value
2025-08-30,08:00,chest,95.5
2025-08-30,08:00,highWaist,80.0
2025-08-30,08:00,hip,98.0
2025-08-30,08:00,leftArm,31.5
2025-08-30,08:00,leftCalf,38.5
2025-08-30,08:00,leftThigh,60.8
2025-08-30,08:00,navel,81.0
2025-08-30,08:00,rightArm,32.0
2025-08-30,08:00,rightCalf,38.5
2025-08-30,08:00,thigh,61.8
2025-08-30,08:00,underbust,83.0
2025-08-30,08:00,waist,90.0
2025-11-08,08:00,thigh,60.0
2025-11-25,08:00,highWaist,78.0
2025-11-25,08:00,leftCalf,37.5
2025-11-25,08:00,rightCalf,37.0
2025-12-24,08:00,chest,94.0
2025-12-24,08:00,leftThigh,55.5
2025-12-24,08:00,underbust,77.0
2026-01-17,08:00,thigh,58.0
2026-02-20,08:00,highWaist,77.0
2026-02-20,08:00,hip,96.0
2026-02-20,08:00,leftArm,30.4
2026-02-20,08:00,leftCalf,36.5
2026-02-20,08:00,rightArm,30.4
2026-02-20,08:00,rightCalf,36.5
2026-02-20,08:00,waist,83.0
2026-03-27,08:00,thigh,57.5
2026-04-20,08:00,chest,90.0
2026-04-20,08:00,leftThigh,55.0
2026-04-20,08:00,underbust,75.5
2026-05-19,08:00,highWaist,75.0
2026-05-19,08:00,leftCalf,36.0
2026-05-19,08:00,rightCalf,36.0
2026-06-05,08:00,thigh,55.0
2026-08-14,08:00,chest,88.0
2026-08-14,08:00,head,52.5
2026-08-14,08:00,highWaist,72.0
2026-08-14,08:00,hip,92.0
2026-08-14,08:00,leftArm,29.5
2026-08-14,08:00,leftCalf,35.0
2026-08-14,08:00,leftThigh,53.0
2026-08-14,08:00,navel,78.0
2026-08-14,08:00,rightArm,29.3
2026-08-14,08:00,rightCalf,35.0
2026-08-14,08:00,shoulder,100.0
2026-08-14,08:00,shoulderWidth,43.0
2026-08-14,08:00,thigh,54.5
2026-08-14,08:00,underbust,76.0
2026-08-14,08:00,waist,81.0
2026-08-14,08:00,wrist,15.4
